ligand_id,isoform,complex_file,exact_signature_matches,status
015b77d89f28c2a812d2a981ec3b159c28d1a1b7df5d96fe0ff7228b823e433f,JAK2,results/saved_complexes/015b77d8_JAK2_6a4b9a_complex.pdb,3,duplicate_exact_matches_first_selected
0174d1b76600dbaa45ebef14bb12cb56d244c11172a942f386006e68dde8621d,JAK1,results/saved_complexes/0174d1b7_JAK1_93a5dc_complex.pdb,3,duplicate_exact_matches_first_selected
0174d1b76600dbaa45ebef14bb12cb56d244c11172a942f386006e68dde8621d,JAK2,results/saved_complexes/0174d1b7_JAK2_95eab1_complex.pdb,3,duplicate_exact_matches_first_selected
01782596020541d45179c5637ddafb207bc7fd4a0eeb84b2aa03fdd117aa4730,JAK1,results/saved_complexes/01782596_JAK1_5d1695_complex.pdb,3,duplicate_exact_matches_first_selected
01782596020541d45179c5637ddafb207bc7fd4a0eeb84b2aa03fdd117aa4730,JAK2,results/saved_complexes/01782596_JAK2_0d3781_complex.pdb,3,duplicate_exact_matches_first_selected
017bd0e0c20be856b2dd5f3e5aa50d31695b2704987fc1a520d78cdeb1a9f07e,JAK1,,0,no_prefix_candidates
017bd0e0c20be856b2dd5f3e5aa50d31695b2704987fc1a520d78cdeb1a9f07e,JAK2,,0,no_prefix_candidates
017fbcf46d73461b3daf9b4d43abb226496451fa3085cd7fbce627b57ed76c4b,JAK1,,0,no_prefix_candidates
017fbcf46d73461b3daf9b4d43abb226496451fa3085cd7fbce627b57ed76c4b,JAK2,,0,no_prefix_candidates
018df4336e262f2bc1d5c4706b4cafd8b8b2389535618c693442b95b78b9ae90,JAK1,results/saved_complexes/018df433_JAK1_5318a8_complex.pdb,2,duplicate_exact_matches_first_selected
018df4336e262f2bc1d5c4706b4cafd8b8b2389535618c693442b95b78b9ae90,JAK2,results/saved_complexes/018df433_JAK2_612279_complex.pdb,2,duplicate_exact_matches_first_selected
019c7e19dfaaa940671b5d7b25226846c643cc67858e67b9d5b5f7c681d6d17f,JAK1,results/saved_complexes/019c7e19_JAK1_30d1a5_complex.pdb,3,duplicate_exact_matches_first_selected
019c7e19dfaaa940671b5d7b25226846c643cc67858e67b9d5b5f7c681d6d17f,JAK2,results/saved_complexes/019c7e19_JAK2_4fe97d_complex.pdb,3,duplicate_exact_matches_first_selected
01a636ba535af5431b7f82548189971b94e61da615a37b5a571a215c4b3ded8e,JAK1,results/saved_complexes/01a636ba_JAK1_196172_complex.pdb,3,duplicate_exact_matches_first_selected
01a636ba535af5431b7f82548189971b94e61da615a37b5a571a215c4b3ded8e,JAK2,results/saved_complexes/01a636ba_JAK2_83cee4_complex.pdb,3,duplicate_exact_matches_first_selected
01a88713770432da99ab988e7fc0ac0858c57e593a1b9a31cb4098e7d5bb0d12,JAK1,results/saved_complexes/01a88713_JAK1_02e258_complex.pdb,3,duplicate_exact_matches_first_selected
01a88713770432da99ab988e7fc0ac0858c57e593a1b9a31cb4098e7d5bb0d12,JAK2,results/saved_complexes/01a88713_JAK2_09c4c3_complex.pdb,3,duplicate_exact_matches_first_selected
01ab9d4ea5637b54416f440f0af79827a06048645d65203ec8d18d144662a01b,JAK1,results/saved_complexes/01ab9d4e_JAK1_1e453e_complex.pdb,3,duplicate_exact_matches_first_selected
01ab9d4ea5637b54416f440f0af79827a06048645d65203ec8d18d144662a01b,JAK2,results/saved_complexes/01ab9d4e_JAK2_16a610_complex.pdb,3,duplicate_exact_matches_first_selected
01b3c04ab563f864c9b5b1671a7d15b8c4ebcd0e52498a41467f55eee3debcbc,JAK1,results/saved_complexes/01b3c04a_JAK1_1f2c88_complex.pdb,3,duplicate_exact_matches_first_selected
01b3c04ab563f864c9b5b1671a7d15b8c4ebcd0e52498a41467f55eee3debcbc,JAK2,results/saved_complexes/01b3c04a_JAK2_5198bd_complex.pdb,3,duplicate_exact_matches_first_selected
01ba086bc4ddc2eca9379f8ebfc3f65201fa802fea2b693cfef16bbde5a5a4ac,JAK1,results/saved_complexes/01ba086b_JAK1_3b53ba_complex.pdb,2,duplicate_exact_matches_first_selected
01ba086bc4ddc2eca9379f8ebfc3f65201fa802fea2b693cfef16bbde5a5a4ac,JAK2,results/saved_complexes/01ba086b_JAK2_6377d8_complex.pdb,2,duplicate_exact_matches_first_selected
01c152f293c9d271c77977f6bed800a93ce9f1ee80bb1ace1de0bf6c7e85ef5d,JAK1,results/saved_complexes/01c152f2_JAK1_06fc05_complex.pdb,3,duplicate_exact_matches_first_selected
01c152f293c9d271c77977f6bed800a93ce9f1ee80bb1ace1de0bf6c7e85ef5d,JAK2,results/saved_complexes/01c152f2_JAK2_0f08f7_complex.pdb,3,duplicate_exact_matches_first_selected
01c2b19171b4c0c18b8176547dc2416800418739cc6cf04d5682332e85fc2489,JAK1,results/saved_complexes/01c2b191_JAK1_961f8d_complex.pdb,2,duplicate_exact_matches_first_selected
01c2b19171b4c0c18b8176547dc2416800418739cc6cf04d5682332e85fc2489,JAK2,results/saved_complexes/01c2b191_JAK2_145b8a_complex.pdb,2,duplicate_exact_matches_first_selected
01ccde5d9f791bbe876b8d81424eb784b0e64e259f6f17f44a99edba32c657b9,JAK1,results/saved_complexes/01ccde5d_JAK1_0a79c9_complex.pdb,2,duplicate_exact_matches_first_selected
01ccde5d9f791bbe876b8d81424eb784b0e64e259f6f17f44a99edba32c657b9,JAK2,results/saved_complexes/01ccde5d_JAK2_0fcff6_complex.pdb,2,duplicate_exact_matches_first_selected
01cd9678b4e77f7ecf0a86ab16adadb1b6e31f3158f87504e90c17bae31b40e3,JAK1,,0,no_prefix_candidates
01cd9678b4e77f7ecf0a86ab16adadb1b6e31f3158f87504e90c17bae31b40e3,JAK2,,0,no_prefix_candidates
01ce58bfe0cc616136b25be3ed8675a878ab2d2d80ef470e8a52f01b511b8164,JAK1,,0,no_prefix_candidates
01ce58bfe0cc616136b25be3ed8675a878ab2d2d80ef470e8a52f01b511b8164,JAK2,,0,no_prefix_candidates
01d22c168adea910825873a17dfd3594b0b148636f23ff97a09bf1de152438b1,JAK1,results/saved_complexes/01d22c16_JAK1_53e34c_complex.pdb,1,unique_exact_match
01d22c168adea910825873a17dfd3594b0b148636f23ff97a09bf1de152438b1,JAK2,results/saved_complexes/01d22c16_JAK2_34fa14_complex.pdb,1,unique_exact_match
01d8ba5cb998ec7aaf2ce7f16bde5041619cdea48c9a08f3f554d3e24fd81100,JAK1,,0,no_prefix_candidates
01d8ba5cb998ec7aaf2ce7f16bde5041619cdea48c9a08f3f554d3e24fd81100,JAK2,,0,no_prefix_candidates
01ebd1fda6c9b4c6106620fe7bd8e623eec44e0c50f108b3b9c9af221fb509be,JAK1,results/saved_complexes/01ebd1fd_JAK1_0302c0_complex.pdb,3,duplicate_exact_matches_first_selected
01ebd1fda6c9b4c6106620fe7bd8e623eec44e0c50f108b3b9c9af221fb509be,JAK2,results/saved_complexes/01ebd1fd_JAK2_6cfb1c_complex.pdb,3,duplicate_exact_matches_first_selected
01ed9cf25861ea4dac3eabf352d1410e2497222dbb0a6f6690328fbc50cede3a,JAK1,results/saved_complexes/01ed9cf2_JAK1_705e98_complex.pdb,2,duplicate_exact_matches_first_selected
01ed9cf25861ea4dac3eabf352d1410e2497222dbb0a6f6690328fbc50cede3a,JAK2,results/saved_complexes/01ed9cf2_JAK2_6a1c6d_complex.pdb,2,duplicate_exact_matches_first_selected
01f54e55efee4642b5b58951a15e47d90ab5c6064a2b8b9700889b151c81df82,JAK1,results/saved_complexes/01f54e55_JAK1_0e1e26_complex.pdb,2,duplicate_exact_matches_first_selected
01f54e55efee4642b5b58951a15e47d90ab5c6064a2b8b9700889b151c81df82,JAK2,results/saved_complexes/01f54e55_JAK2_74034e_complex.pdb,2,duplicate_exact_matches_first_selected
01feb28a2a1f767d2dbc0225f44023fb72ee340b6b0818e7adf03fe2e583e22c,JAK1,results/saved_complexes/01feb28a_JAK1_514602_complex.pdb,3,duplicate_exact_matches_first_selected
01feb28a2a1f767d2dbc0225f44023fb72ee340b6b0818e7adf03fe2e583e22c,JAK2,results/saved_complexes/01feb28a_JAK2_5b6497_complex.pdb,3,duplicate_exact_matches_first_selected
02053d030b0292e798086b815ffa223a0885dd4aca4a1c571a7eb50816b5764b,JAK1,,0,no_prefix_candidates
02053d030b0292e798086b815ffa223a0885dd4aca4a1c571a7eb50816b5764b,JAK2,,0,no_prefix_candidates
02068e52047399cf1433b5289e6d5a928eb2434ab1ad02ad02c4cd41dc66894f,JAK1,results/saved_complexes/02068e52_JAK1_2ccb0b_complex.pdb,3,duplicate_exact_matches_first_selected
02068e52047399cf1433b5289e6d5a928eb2434ab1ad02ad02c4cd41dc66894f,JAK2,results/saved_complexes/02068e52_JAK2_26645b_complex.pdb,3,duplicate_exact_matches_first_selected
0207cd8c3e5f00526007ae459ae20b4d9d887b4459789e5e690a61ff58a51786,JAK1,results/saved_complexes/0207cd8c_JAK1_25dd48_complex.pdb,3,duplicate_exact_matches_first_selected
0207cd8c3e5f00526007ae459ae20b4d9d887b4459789e5e690a61ff58a51786,JAK2,results/saved_complexes/0207cd8c_JAK2_1c3e3e_complex.pdb,3,duplicate_exact_matches_first_selected
021d3b7ebe4973b31e6f3051b928c1c9dac39184329d990c17f0441ee2276508,JAK1,,0,no_prefix_candidates
021d3b7ebe4973b31e6f3051b928c1c9dac39184329d990c17f0441ee2276508,JAK2,,0,no_prefix_candidates
