smiles,dataset,PC1,PC2
Cc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4cccnn4)cc3)cc12,JAK2-selective,-3.1274087253947287,1.2860292783116496
Cc1cncc2ccc(NC(=O)[C@@H]3C[C@H]3c3ccc(S(=O)(=O)Nc4cncc(C5CCNCC5)n4)cc3)cc12,JAK2-selective,-2.844268620578478,1.2901235297317954
Cc1nc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)c[nH]1,JAK2-selective,-4.325922738303322,-2.1536116987497316
Cc1nccc2cc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)ccc12,JAK2-selective,-2.9279755898048903,1.788893127192667
Cc1nn([C@]2(CC#N)C[C@@H](C#N)C2)cc1-c1nc(-c2cnn(C)c2)cn2nccc12,JAK2-selective,-2.261875405333602,-1.8530004067835666
Cn1cc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)c(CO)n1,JAK2-selective,-3.882625556583552,-1.9158969408987674
Cn1cc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)c(N)n1,JAK2-selective,-3.6631889799187283,-1.6895874613460773
Cn1cc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)nn1,JAK2-selective,-3.6713482195675238,-2.30421695251896
Cn1cc(-c2cc(-c3cnn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)c3cccnc3c2)cn1,JAK2-selective,-4.252170256689048,-1.9811037377539817
Cn1cc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CC(C#N)C4)n3)n2)c(CO)n1,JAK2-selective,-4.381005882352097,-1.0936734492323885
Cn1cc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)n2)c(N)n1,JAK2-selective,-5.162879408359069,-0.954426390253146
Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)c(=O)[nH]1,JAK2-selective,-1.8325954320338769,-2.0761064741692925
Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)c(CO)n1,JAK2-selective,-2.4591153271681416,-2.1982004151818706
Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)c(N)n1,JAK2-selective,-2.4578915014870755,-2.1749814171025204
